acct	sched_cd	Div_ord	Type_Interest	Interest_Percent
0151539	E	010496	ROYALTY	0.001302
0151540	E	010496	ROYALTY	0.013602
0151542	E	010496	ROYALTY	0.010648
0151547	E	010496	ROYALTY	0.014545
0151548	E	010496	ROYALTY	0.014598
0151550	E	010496	ROYALTY	0.004066
0151552	E	010496	ROYALTY	0.021003
0151561	E	010496	WORKING	0.803875
0151563	E	010496	ROYALTY	0.000457
0151564	E	010496	ROYALTY	0.001556
0151578	E	010496	ROYALTY	0.001053
0151580	E	010496	ROYALTY	0.001053
0151583	E	010496	ROYALTY	0.002205
0151585	E	010496	ROYALTY	0.021018
0151586	E	010496	ROYALTY	0.002205
0151587	E	010496	ROYALTY	0.002205
0151588	E	010496	ROYALTY	0.002058
0151589	E	010496	ROYALTY	0.002387
0151590	E	010496	OVERRIDE	0.003957
0151591	E	010496	ROYALTY	0.001838
0151592	E	010496	ROYALTY	0.001838
0151593	E	010496	ROYALTY	0.000983
0151599	E	010496	ROYALTY	0.000147
0151600	E	010496	ROYALTY	0.000616
0151605	E	010496	ROYALTY	0.000294
0151606	E	010496	ROYALTY	0.000294
0151608	E	010496	ROYALTY	0.000730
0151613	E	010496	ROYALTY	0.000479
0151615	E	010496	ROYALTY	0.000254
0151620	E	010496	ROYALTY	0.003307
0151621	E	010496	ROYALTY	0.001653
0151638	E	010496	ROYALTY	0.001145
0151639	E	010496	ROYALTY	0.025145
0151643	E	010496	WORKING	0.843539
0151645	E	010496	ROYALTY	0.000274
0151666	E	010496	ROYALTY	0.000484
0151668	E	010496	ROYALTY	0.000484
0151678	E	010496	ROYALTY	0.001012
0151680	E	010496	ROYALTY	0.011168
0151681	E	010496	ROYALTY	0.001012
0151682	E	010496	ROYALTY	0.001012
0151685	E	010496	ROYALTY	0.000945
0151687	E	010496	ROYALTY	0.001096
0151690	E	010496	ROYALTY	0.000844
0151691	E	010496	ROYALTY	0.000844
0151692	E	010496	ROYALTY	0.000451
0151699	E	010496	ROYALTY	0.002731
0151702	E	010496	ROYALTY	0.001635
0151703	E	010496	ROYALTY	0.000432
0151712	E	010496	ROYALTY	0.001397
0151719	E	010496	ROYALTY	0.000335
0151722	E	010496	ROYALTY	0.000754
0151723	E	010496	ROYALTY	0.000377
0151724	E	010496	ROYALTY	0.000377
0151728	E	010496	ROYALTY	0.000336
0151729	E	010496	ROYALTY	0.000320
0151739	E	010496	ROYALTY	0.001519
0151740	E	010496	ROYALTY	0.000759
0151748	E	010496	ROYALTY	0.000883
0151749	E	010496	ROYALTY	0.004708
0151755	E	010496	OVERRIDE	0.025111
0151756	E	010496	ROYALTY	0.001177
0151758	E	010496	ROYALTY	0.001838
0151759	E	010496	ROYALTY	0.001838
0151760	E	010496	ROYALTY	0.000565
0151761	E	010496	ROYALTY	0.001838
0151762	E	010496	WORKING	0.833636
0151764	E	010496	ROYALTY	0.001569
0151769	E	010496	ROYALTY	0.001765
0151770	E	010496	ROYALTY	0.001765
0151771	E	010496	ROYALTY	0.000883
0151774	E	010496	ROYALTY	0.001413
0151777	E	010496	ROYALTY	0.001177
0151780	E	010496	ROYALTY	0.002354
0151781	E	010496	ROYALTY	0.001177
0151785	E	010496	ROYALTY	0.014126
0151789	E	010496	ROYALTY	0.000706
0151790	E	010496	ROYALTY	0.004708
0151791	E	010496	ROYALTY	0.001765
0151794	E	010496	ROYALTY	0.001177
0151795	E	010496	ROYALTY	0.001177
0151797	E	010496	ROYALTY	0.014124
0151798	E	010496	ROYALTY	0.002354
0151799	E	010496	ROYALTY	0.000706
0151801	E	010496	ROYALTY	0.000706
0151804	E	010496	ROYALTY	0.001177
0151805	E	010496	ROYALTY	0.003774
0151811	E	010496	ROYALTY	0.002516
0151813	E	010496	ROYALTY	0.003774
0151814	E	010496	WORKING	0.855425
0151815	E	010496	ROYALTY	0.001887
0151817	E	010496	ROYALTY	0.001562
0151821	E	010496	ROYALTY	0.002516
0151822	E	010496	ROYALTY	0.008806
0151825	E	010496	ROYALTY	0.005032
0151826	E	010496	ROYALTY	0.008806
0151835	E	010496	ROYALTY	0.009375
0151836	E	010496	ROYALTY	0.001563
0151837	E	010496	ROYALTY	0.009375
0151838	E	010496	ROYALTY	0.009375
0151841	E	010496	ROYALTY	0.001258
0151848	E	010496	ROYALTY	0.001258
0151861	E	010496	ROYALTY	0.002945
0151866	E	010496	WORKING	0.857143
0151869	E	010496	ROYALTY	0.041667
